state,x,y
Andhra Pradesh,-72.0,-146.0
Arunachal Pradesh,221.0,138.0
Assam,192.0,91.0
Bihar,52.0,78.0
Chhattisgarh,-21.0,-2.0
Goa,-174.0,-138.0
Gujarat,-212.0,33.0
Haryana,-139.0,158.0
Himachal Pradesh,-116.0,220.0
Jharkhand,40.0,28.0
Karnataka,-144.0,-154.0
Kerala,-128.0,-240.0
Madhya Pradesh,-100.0,23.0
Maharashtra,-145.0,-52.0
Manipur,211.0,57.0
Meghalaya,156.0,73.0
Mizoram,188.0,25.0
Nagaland,223.0,86.0
Odisha,27.0,-29.0
Punjab,-148.0,187.0
Rajasthan,-182.0,100.0
Sikkim,103.0,119.0
Tamil Nadu,-93.0,-225.0
Telangana,-84.0,-85.0
Tripura,163.0,34.0
Uttar Pradesh,-45.0,102.0
Uttarakhand,-73.0,177.0
West Bengal,90.0,22.0
Andaman & Nicobar Islands,187.0,-192.0
Chandigarh,-121.0,188.0
Dadra & Nagar Haveli,-195.0,-38.0
Daman & Diu,-230.0,-23.0
Delhi,-114.0,142.0
Jammu & Kashmir,-155.0,255.0
Ladakh,-108.0,265.0
Lakshadweep,-209.0,-226.0
Puducherry,-64.0,-205.0
